2 314224 414403516 209960 21063740 65439 466280 56302 2683 5179 3180 5425 1620 -1.000000 720.000000 -0.001391 0.782126 0 4 23384.327311
2 252804 339610885 167257 15337541 155922 402515 15970 2003 4979 3816 4690 1554 -1.000000 720.000000 -0.001391 0.920212 0 4 24786.998316
2 229072 310262505 151935 14910123 34251 369405 10834 1746 3676 2539 4000 1150 -1.000000 720.000000 -0.001391 0.941114 0 4 24418.636743
2 189501 258232756 125115 10784131 56040 302353 11240 2736 2587 1444 3422 1029 -1.000000 720.000000 -0.001391 0.925296 0 4 23837.359345
2 140742 180327490 99344 10942581 97979 229784 9540 1620 2998 1656 3596 1082 -1.000000 720.000000 -0.001391 0.917355 0 4 23837.562910
2 44828 40481384 43373 8108565 40382 79739 7864 1702 2860 1850 3453 1183 -1.000000 720.000000 -0.001391 0.814900 0 4 24847.124914
2 44125 41901761 42349 5428179 33099 69667 15691 1659 3226 1931 2665 999 -1.000000 580.000000 -0.001727 0.624188 0 4 22828.954521
2 146374 190355959 104597 10484911 62205 239877 10530 1796 3813 2105 3446 916 -1.000000 720.000000 -0.001391 0.913839 0 4 21630.967939
2 248416 322257839 172084 14030490 51826 378393 31430 1754 3762 1812 4052 1203 -1.000000 511.000000 -0.001961 0.825120 0 4 19871.834156
2 238494 302755695 170783 15325600 50056 364472 34124 1559 4784 2224 4865 1268 -1.000000 579.000000 -0.001730 0.807150 0 4 22622.983145
2 216006 277477886 150329 11760200 17037 314578 38894 1392 3237 1596 3442 1285 -1.000000 720.000000 -0.001391 0.752546 0 4 20229.025912
2 45921 40537293 54608 5579121 12009 51759 41946 1082 2035 718 1702 946 -1.000000 720.000000 -0.001391 0.097614 0 4 19461.166563
2 44862 49328122 42033 5354019 29739 57117 26768 1096 1218 483 1000 624 -1.000000 720.000000 -0.001391 0.349261 0 4 21677.690233
2 23428 28032383 17967 4548093 26397 33950 7147 1215 1175 310 1011 457 -1.000000 720.000000 -0.001391 0.647494 0 4 20897.955182
